Epoch:167;steps:1670/50000;train_cost:2.8826421737670898;val_cost:2.7800941
Epoch:168;steps:1680/50000;train_cost:2.907071852684021;val_cost:2.541889
Epoch:169;steps:1690/50000;train_cost:2.7634061098098757;val_cost:2.4072497
Epoch:170;steps:1700/50000;train_cost:2.9110185384750364;val_cost:4.0252523
len(original_list) 32 len(detected_list) 18  test and detect length desn't match
Epoch:171;steps:1710/50000;train_cost:2.8888468980789184;val_cost:3.1212926
Epoch:172;steps:1720/50000;train_cost:2.884207510948181;val_cost:2.9758103
Epoch:173;steps:1730/50000;train_cost:2.9906129598617555;val_cost:2.870586
Epoch:174;steps:1740/50000;train_cost:2.811158633232117;val_cost:3.3352513
Epoch:175;steps:1750/50000;train_cost:3.0584532499313353;val_cost:3.788219
Epoch:176;steps:1760/50000;train_cost:2.804740834236145;val_cost:2.2284884
Epoch:177;steps:1770/50000;train_cost:3.0189171552658083;val_cost:3.4981632
Epoch:178;steps:1780/50000;train_cost:2.7457125425338744;val_cost:3.1459608
Epoch:179;steps:1790/50000;train_cost:2.8901466846466066;val_cost:2.8903852
Epoch:180;steps:1800/50000;train_cost:2.8314337730407715;val_cost:2.4144335
len(original_list) 32 len(detected_list) 13  test and detect length desn't match
Epoch:181;steps:1810/50000;train_cost:2.634575057029724;val_cost:2.9882405
Epoch:182;steps:1820/50000;train_cost:2.8149988651275635;val_cost:3.218874
Epoch:183;steps:1830/50000;train_cost:2.8106339454650877;val_cost:3.232153
Epoch:184;steps:1840/50000;train_cost:2.7038917779922484;val_cost:2.5170262
Epoch:185;steps:1850/50000;train_cost:2.8186138391494753;val_cost:2.0618825
Epoch:186;steps:1860/50000;train_cost:2.9695213079452514;val_cost:3.605716
Epoch:187;steps:1870/50000;train_cost:2.866497302055359;val_cost:3.0052302
Epoch:188;steps:1880/50000;train_cost:2.8309808015823363;val_cost:2.7240434
Epoch:189;steps:1890/50000;train_cost:2.511103367805481;val_cost:2.962731
Epoch:190;steps:1900/50000;train_cost:2.870511031150818;val_cost:2.2565222
len(original_list) 32 len(detected_list) 19  test and detect length desn't match
Epoch:191;steps:1910/50000;train_cost:2.9454734086990357;val_cost:2.7421315
Epoch:192;steps:1920/50000;train_cost:2.8521880388259886;val_cost:2.7653396
Epoch:193;steps:1930/50000;train_cost:2.837188172340393;val_cost:2.5743346
Epoch:194;steps:1940/50000;train_cost:2.726867437362671;val_cost:2.9260397
Epoch:195;steps:1950/50000;train_cost:2.777836275100708;val_cost:2.9243968
Epoch:196;steps:1960/50000;train_cost:2.805111622810364;val_cost:2.813528
Epoch:197;steps:1970/50000;train_cost:2.5911900997161865;val_cost:2.2695165
Epoch:198;steps:1980/50000;train_cost:2.5936904191970824;val_cost:2.6115618
Epoch:199;steps:1990/50000;train_cost:2.8712777853012086;val_cost:2.6474638
Epoch:200;steps:2000/50000;train_cost:2.7701385736465456;val_cost:2.4181147
len(original_list) 32 len(detected_list) 25  test and detect length desn't match
Epoch:201;steps:2010/50000;train_cost:2.7414623737335204;val_cost:2.965323
Epoch:202;steps:2020/50000;train_cost:2.775518465042114;val_cost:2.4434085
Epoch:203;steps:2030/50000;train_cost:2.784934425354004;val_cost:2.4319615
Epoch:204;steps:2040/50000;train_cost:2.597550868988037;val_cost:3.2417355
Epoch:205;steps:2050/50000;train_cost:2.8001853227615356;val_cost:3.098442
Epoch:206;steps:2060/50000;train_cost:2.531904101371765;val_cost:2.6906848
Epoch:207;steps:2070/50000;train_cost:2.838069701194763;val_cost:3.6164355
Epoch:208;steps:2080/50000;train_cost:2.800838351249695;val_cost:2.1811337
Epoch:209;steps:2090/50000;train_cost:2.6998871326446534;val_cost:3.1063018
Epoch:210;steps:2100/50000;train_cost:2.660260796546936;val_cost:2.3649795
len(original_list) 32 len(detected_list) 12  test and detect length desn't match
Epoch:211;steps:2110/50000;train_cost:2.7137845039367674;val_cost:2.6674085
Epoch:212;steps:2120/50000;train_cost:2.747983479499817;val_cost:2.8963094
Epoch:213;steps:2130/50000;train_cost:2.68532657623291;val_cost:2.3983045
Epoch:214;steps:2140/50000;train_cost:2.6561210632324217;val_cost:3.0680428
Epoch:215;steps:2150/50000;train_cost:2.843990182876587;val_cost:3.3819315
Epoch:216;steps:2160/50000;train_cost:2.728126072883606;val_cost:2.8199182
Epoch:217;steps:2170/50000;train_cost:2.6632433414459227;val_cost:3.0670285
Epoch:218;steps:2180/50000;train_cost:2.6036620855331423;val_cost:3.4478471
Epoch:219;steps:2190/50000;train_cost:2.7213582038879394;val_cost:2.795014
Epoch:220;steps:2200/50000;train_cost:2.5655769228935243;val_cost:2.3912501
len(original_list) 32 len(detected_list) 12  test and detect length desn't match
Epoch:221;steps:2210/50000;train_cost:2.5789140462875366;val_cost:2.3590255
Epoch:222;steps:2220/50000;train_cost:2.6972898483276366;val_cost:2.7265942
Epoch:223;steps:2230/50000;train_cost:2.8535529136657716;val_cost:2.4104025
Epoch:224;steps:2240/50000;train_cost:2.788822650909424;val_cost:2.5400615
Epoch:225;steps:2250/50000;train_cost:2.7042953968048096;val_cost:2.67479
Epoch:226;steps:2260/50000;train_cost:2.659717559814453;val_cost:3.2272377
Epoch:227;steps:2270/50000;train_cost:2.521216607093811;val_cost:2.1162927
